activity,company,participates,company_total_revenue_usd_bn,company_operating_margin_pct,activity_revenue_estimate_usd_bn,financial_source_url,activity_source_url,notes
Foundry Services,GlobalFoundries,1,6.75,22.0,6.75,https://investors.gf.com/financial-information/sec-filings,https://www.trendforce.com/presscenter/news/20240215-12033.html,Estimated from segment disclosures and product mix
Foundry Services,SMIC,1,8.03,13.0,8.03,https://www.smics.com/en/site/company_financialSummary,https://www.trendforce.com/presscenter/news/20240215-12033.html,Estimated from segment disclosures and product mix
Advanced Packaging,Intel,1,52.9,-0.6,2.0,https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,Estimated from segment disclosures and product mix
Advanced Packaging,AMD,1,34.6,7.8,1.2,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,Estimated from segment disclosures and product mix
Advanced Packaging,Nvidia,1,60.9,54.1,2.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,Estimated from segment disclosures and product mix
Advanced Packaging,Apple,0,391.0,31.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,No material direct revenue disclosed
Advanced Packaging,Qualcomm,1,38.96,25.6,0.8,https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,Estimated from segment disclosures and product mix
Advanced Packaging,Amazon,0,637.96,10.8,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,No material direct revenue disclosed
Advanced Packaging,Google,0,350.0,32.0,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,No material direct revenue disclosed
Advanced Packaging,Microsoft,0,245.1,44.6,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,No material direct revenue disclosed
Advanced Packaging,TSMC,1,90.0,42.0,9.0,https://investor.tsmc.com/english/financial-calendar,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,Estimated from segment disclosures and product mix
Advanced Packaging,Samsung,1,220.0,8.5,4.5,https://www.samsung.com/global/ir/financial-information/earnings-release/,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,Estimated from segment disclosures and product mix
Advanced Packaging,Marvell,1,5.5,-7.0,0.5,https://investor.marvell.com/financial-information/sec-filings,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,Estimated from segment disclosures and product mix
Advanced Packaging,Micron,0,25.1,-2.0,0.0,https://investors.micron.com/financials/sec-filings,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,No material direct revenue disclosed
Advanced Packaging,IBM,0,62.8,16.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,No material direct revenue disclosed
Advanced Packaging,Texas Instruments,0,15.64,34.0,0.0,https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,No material direct revenue disclosed
Advanced Packaging,GlobalFoundries,0,6.75,22.0,0.0,https://investors.gf.com/financial-information/sec-filings,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,No material direct revenue disclosed
Advanced Packaging,SMIC,0,8.03,13.0,0.0,https://www.smics.com/en/site/company_financialSummary,https://www.yolegroup.com/product/report/advanced-packaging-market-monitor/,No material direct revenue disclosed
Client Computing / PCs,Intel,1,52.9,-0.6,29.0,https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,Estimated from segment disclosures and product mix
Client Computing / PCs,AMD,1,34.6,7.8,10.6,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,Estimated from segment disclosures and product mix
Client Computing / PCs,Nvidia,0,60.9,54.1,0.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,Apple,1,391.0,31.5,30.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,Estimated from segment disclosures and product mix
Client Computing / PCs,Qualcomm,1,38.96,25.6,1.0,https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,Estimated from segment disclosures and product mix
Client Computing / PCs,Amazon,0,637.96,10.8,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,Google,0,350.0,32.0,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,Microsoft,1,245.1,44.6,2.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,Estimated from segment disclosures and product mix
Client Computing / PCs,TSMC,0,90.0,42.0,0.0,https://investor.tsmc.com/english/financial-calendar,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,Samsung,0,220.0,8.5,0.0,https://www.samsung.com/global/ir/financial-information/earnings-release/,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,Marvell,0,5.5,-7.0,0.0,https://investor.marvell.com/financial-information/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,Micron,0,25.1,-2.0,0.0,https://investors.micron.com/financials/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,IBM,0,62.8,16.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,Texas Instruments,0,15.64,34.0,0.0,https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,GlobalFoundries,0,6.75,22.0,0.0,https://investors.gf.com/financial-information/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Client Computing / PCs,SMIC,0,8.03,13.0,0.0,https://www.smics.com/en/site/company_financialSummary,https://www.idc.com/getdoc.jsp?containerId=prUS52088124,No material direct revenue disclosed
Data Center CPUs,Intel,1,52.9,-0.6,14.0,https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm,https://www.mercuryresearch.com/,Estimated from segment disclosures and product mix
Data Center CPUs,AMD,1,34.6,7.8,8.5,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,https://www.mercuryresearch.com/,Estimated from segment disclosures and product mix
Data Center CPUs,Nvidia,0,60.9,54.1,0.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center CPUs,Apple,0,391.0,31.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center CPUs,Qualcomm,0,38.96,25.6,0.0,https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center CPUs,Amazon,1,637.96,10.8,2.5,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm,https://www.mercuryresearch.com/,Estimated from segment disclosures and product mix
Data Center CPUs,Google,1,350.0,32.0,1.5,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.mercuryresearch.com/,Estimated from segment disclosures and product mix
Data Center CPUs,Microsoft,1,245.1,44.6,1.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.mercuryresearch.com/,Estimated from segment disclosures and product mix
Data Center CPUs,TSMC,0,90.0,42.0,0.0,https://investor.tsmc.com/english/financial-calendar,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center CPUs,Samsung,0,220.0,8.5,0.0,https://www.samsung.com/global/ir/financial-information/earnings-release/,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center CPUs,Marvell,0,5.5,-7.0,0.0,https://investor.marvell.com/financial-information/sec-filings,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center CPUs,Micron,0,25.1,-2.0,0.0,https://investors.micron.com/financials/sec-filings,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center CPUs,IBM,1,62.8,16.5,3.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.mercuryresearch.com/,Estimated from segment disclosures and product mix
Data Center CPUs,Texas Instruments,0,15.64,34.0,0.0,https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center CPUs,GlobalFoundries,0,6.75,22.0,0.0,https://investors.gf.com/financial-information/sec-filings,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center CPUs,SMIC,0,8.03,13.0,0.0,https://www.smics.com/en/site/company_financialSummary,https://www.mercuryresearch.com/,No material direct revenue disclosed
Data Center GPUs,Intel,1,52.9,-0.6,1.2,https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,Estimated from segment disclosures and product mix
Data Center GPUs,AMD,1,34.6,7.8,3.5,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,Estimated from segment disclosures and product mix
Data Center GPUs,Nvidia,1,60.9,54.1,39.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,Estimated from segment disclosures and product mix
Data Center GPUs,Apple,0,391.0,31.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,Qualcomm,0,38.96,25.6,0.0,https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,Amazon,0,637.96,10.8,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,Google,0,350.0,32.0,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,Microsoft,0,245.1,44.6,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,TSMC,0,90.0,42.0,0.0,https://investor.tsmc.com/english/financial-calendar,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,Samsung,0,220.0,8.5,0.0,https://www.samsung.com/global/ir/financial-information/earnings-release/,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,Marvell,0,5.5,-7.0,0.0,https://investor.marvell.com/financial-information/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,Micron,0,25.1,-2.0,0.0,https://investors.micron.com/financials/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,IBM,0,62.8,16.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,Texas Instruments,0,15.64,34.0,0.0,https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,GlobalFoundries,0,6.75,22.0,0.0,https://investors.gf.com/financial-information/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
Data Center GPUs,SMIC,0,8.03,13.0,0.0,https://www.smics.com/en/site/company_financialSummary,https://www.idc.com/getdoc.jsp?containerId=prUS52662025,No material direct revenue disclosed
AI/ML Accelerators,Intel,1,52.9,-0.6,1.5,https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,AMD,1,34.6,7.8,4.5,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,Nvidia,1,60.9,54.1,45.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,Apple,1,391.0,31.5,5.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,Qualcomm,1,38.96,25.6,0.6,https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,Amazon,1,637.96,10.8,3.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,Google,1,350.0,32.0,2.5,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,Microsoft,1,245.1,44.6,1.2,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,TSMC,0,90.0,42.0,0.0,https://investor.tsmc.com/english/financial-calendar,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,No material direct revenue disclosed
AI/ML Accelerators,Samsung,0,220.0,8.5,0.0,https://www.samsung.com/global/ir/financial-information/earnings-release/,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,No material direct revenue disclosed
AI/ML Accelerators,Marvell,1,5.5,-7.0,0.7,https://investor.marvell.com/financial-information/sec-filings,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,Micron,0,25.1,-2.0,0.0,https://investors.micron.com/financials/sec-filings,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,No material direct revenue disclosed
AI/ML Accelerators,IBM,1,62.8,16.5,1.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,Estimated from segment disclosures and product mix
AI/ML Accelerators,Texas Instruments,0,15.64,34.0,0.0,https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,No material direct revenue disclosed
AI/ML Accelerators,GlobalFoundries,0,6.75,22.0,0.0,https://investors.gf.com/financial-information/sec-filings,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,No material direct revenue disclosed
AI/ML Accelerators,SMIC,0,8.03,13.0,0.0,https://www.smics.com/en/site/company_financialSummary,https://www.gartner.com/en/newsroom/press-releases/2024-07-17-gartner-forecasts-worldwide-ai-semiconductor-revenue,No material direct revenue disclosed
Gaming Graphics,Intel,1,52.9,-0.6,0.3,https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm,https://www.jonpeddie.com/news/aib-add-in-board-market/,Estimated from segment disclosures and product mix
Gaming Graphics,AMD,1,34.6,7.8,2.8,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,https://www.jonpeddie.com/news/aib-add-in-board-market/,Estimated from segment disclosures and product mix
Gaming Graphics,Nvidia,1,60.9,54.1,11.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm,https://www.jonpeddie.com/news/aib-add-in-board-market/,Estimated from segment disclosures and product mix
Gaming Graphics,Apple,0,391.0,31.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,Qualcomm,0,38.96,25.6,0.0,https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,Amazon,0,637.96,10.8,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,Google,0,350.0,32.0,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,Microsoft,0,245.1,44.6,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,TSMC,0,90.0,42.0,0.0,https://investor.tsmc.com/english/financial-calendar,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,Samsung,0,220.0,8.5,0.0,https://www.samsung.com/global/ir/financial-information/earnings-release/,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,Marvell,0,5.5,-7.0,0.0,https://investor.marvell.com/financial-information/sec-filings,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,Micron,0,25.1,-2.0,0.0,https://investors.micron.com/financials/sec-filings,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,IBM,0,62.8,16.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/51143/000005114325000010/ibm-20241231.htm,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,Texas Instruments,0,15.64,34.0,0.0,https://investor.ti.com/financial-information/annual-reports-and-proxies,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,GlobalFoundries,0,6.75,22.0,0.0,https://investors.gf.com/financial-information/sec-filings,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Gaming Graphics,SMIC,0,8.03,13.0,0.0,https://www.smics.com/en/site/company_financialSummary,https://www.jonpeddie.com/news/aib-add-in-board-market/,No material direct revenue disclosed
Networking & Interconnect,Intel,1,52.9,-0.6,5.0,https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-26-000008/intc-20251227.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,Estimated from segment disclosures and product mix
Networking & Interconnect,AMD,1,34.6,7.8,1.0,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000018/amd-20251227.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,Estimated from segment disclosures and product mix
Networking & Interconnect,Nvidia,1,60.9,54.1,12.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000086/nvda-20250126.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,Estimated from segment disclosures and product mix
Networking & Interconnect,Apple,0,391.0,31.5,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,No material direct revenue disclosed
Networking & Interconnect,Qualcomm,1,38.96,25.6,1.5,https://investor.qualcomm.com/financial-information/sec-filings/content/0000804328-24-000067/qcom-20240929.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,Estimated from segment disclosures and product mix
Networking & Interconnect,Amazon,0,637.96,10.8,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1018724/000101872425000008/amzn-20241231.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,No material direct revenue disclosed
Networking & Interconnect,Google,0,350.0,32.0,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,No material direct revenue disclosed
Networking & Interconnect,Microsoft,0,245.1,44.6,0.0,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,No material direct revenue disclosed
Networking & Interconnect,TSMC,1,90.0,42.0,2.0,https://investor.tsmc.com/english/financial-calendar,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,Estimated from segment disclosures and product mix
Networking & Interconnect,Samsung,0,220.0,8.5,0.0,https://www.samsung.com/global/ir/financial-information/earnings-release/,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,No material direct revenue disclosed
Networking & Interconnect,Marvell,1,5.5,-7.0,3.0,https://investor.marvell.com/financial-information/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,Estimated from segment disclosures and product mix
Networking & Interconnect,Micron,0,25.1,-2.0,0.0,https://investors.micron.com/financials/sec-filings,https://www.idc.com/getdoc.jsp?containerId=prUS52026624,No material direct revenue disclosed
